METAL,BAND,SEX,BANDEDYEAR,BANDEDAGE,BANDEDLOC,DIRREC,AGE_CODE,BANDING_MONTH,BANDING_YEAR,LAT_DECIMAL_DEGREES,LON_DECIMAL_DEGREES,GISRLong,GISRLat,R_Day,R_Month,R_Year,RRegion__STA,RRegion__State
105706870,NK2B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706871,NRKB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706873,NR0B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706874,NZLB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706875,NZ7B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706877,NRZB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706878,N5GB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706879,NR2B,F,1993,A,CAN,,1,8,1993,69.58333,-130.75,-120.91667,35.41667,27,11,2004,CA,California
105706880,NZEB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706881,NRAB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706882,N57B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706883,NR9B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706884,NR4B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706885,NZ1B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706886,NRGB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706887,NRLB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706889,N5LB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706890,NZ5B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706892,NZ3B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706893,NR8B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706894,NRYB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706895,N53B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706896,N5AB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706897,NZVB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706898,NZKB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706900,NRVB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706901,NY1B,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706902,NLTB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706903,NYSB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706904,NY5B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706905,NL9B,M,1993,A,CAN,,1,8,1993,69.58333,-130.75,,,,,,,
105706906,NYKB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706907,NZ8B,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706908,NYVB,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706909,NYLB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706910,NLZB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706911,NL1B,M,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706912,NLRB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
105706913,NYGB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706914,NLHB,F,1993,A,CAN,,6,8,1993,69.58333,-130.75,,,,,,,
105706915,NYTB,F,1993,L,CAN,,4,8,1993,69.58333,-130.75,,,,,,,
